Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
2,21.0,2103.0,6.8,70,74.0
2,21.0,2103.0,6,75,79.0
2,21.0,2103.0,4.9,80,84.0
2,21.0,2103.0,5,85,
2,21.0,2104.0,0,0,4.0
2,21.0,2104.0,1.7,5,9.0
2,21.0,2104.0,6.2,10,14.0
2,21.0,2104.0,10.6,15,19.0
2,21.0,2104.0,12.4,20,24.0
2,21.0,2104.0,12.8,25,29.0
2,21.0,2104.0,12.6,30,34.0
2,21.0,2104.0,12.6,35,39.0
2,21.0,2104.0,12.2,40,44.0
2,21.0,2104.0,11.4,45,49.0
2,21.0,2104.0,11.2,50,54.0
2,21.0,2104.0,10,55,59.0
2,21.0,2104.0,9.5,60,64.0
2,21.0,2104.0,9.3,65,69.0
2,21.0,2104.0,8.7,70,74.0
2,21.0,2104.0,7.7,75,79.0
2,21.0,2104.0,7.2,80,84.0
2,21.0,2104.0,6.6,85,
2,22.0,2201.0,0,0,4.0
2,22.0,2201.0,1.6,5,9.0
2,22.0,2201.0,6,10,14.0
2,22.0,2201.0,10.6,15,19.0
2,22.0,2201.0,12.7,20,24.0
2,22.0,2201.0,13.3,25,29.0
2,22.0,2201.0,13.4,30,34.0
2,22.0,2201.0,13.4,35,39.0
2,22.0,2201.0,13.1,40,44.0
2,22.0,2201.0,12.7,45,49.0
2,22.0,2201.0,12.4,50,54.0
2,22.0,2201.0,11.7,55,59.0
2,22.0,2201.0,11.1,60,64.0
2,22.0,2201.0,10.6,65,69.0
2,22.0,2201.0,9.7,70,74.0
2,22.0,2201.0,8.2,75,79.0
2,22.0,2201.0,7,80,84.0
2,22.0,2201.0,6.1,85,
2,22.0,2202.0,0,0,4.0
2,22.0,2202.0,2.5,5,9.0
2,22.0,2202.0,6.5,10,14.0
2,22.0,2202.0,10.7,15,19.0
2,22.0,2202.0,13.3,20,24.0
2,22.0,2202.0,13.2,25,29.0
2,22.0,2202.0,14.1,30,34.0
2,22.0,2202.0,12.6,35,39.0
2,22.0,2202.0,12.6,40,44.0
2,22.0,2202.0,11.7,45,49.0
2,22.0,2202.0,10.9,50,54.0
2,22.0,2202.0,10.2,55,59.0
2,22.0,2202.0,9.9,60,64.0
2,22.0,2202.0,6.7,65,69.0
2,22.0,2202.0,3,70,74.0
2,22.0,2202.0,3,75,79.0
2,22.0,2202.0,2.4,80,84.0
2,22.0,2202.0,0,85,
2,22.0,2203.0,0,0,4.0
2,22.0,2203.0,1.5,5,9.0
2,22.0,2203.0,6,10,14.0
2,22.0,2203.0,10.5,15,19.0
2,22.0,2203.0,12.3,20,24.0
2,22.0,2203.0,13.1,25,29.0
2,22.0,2203.0,13.3,30,34.0
2,22.0,2203.0,13,35,39.0
2,22.0,2203.0,12.5,40,44.0
2,22.0,2203.0,11.9,45,49.0
2,22.0,2203.0,11.4,50,54.0
2,22.0,2203.0,10.8,55,59.0
2,22.0,2203.0,9.7,60,64.0
2,22.0,2203.0,9.4,65,69.0
2,22.0,2203.0,8.4,70,74.0
2,22.0,2203.0,6,75,79.0
2,22.0,2203.0,4.2,80,84.0
2,22.0,2203.0,4.4,85,
2,23.0,2301.0,0,0,4.0
2,23.0,2301.0,1.5,5,9.0
2,23.0,2301.0,6.1,10,14.0
2,23.0,2301.0,10.4,15,19.0
2,23.0,2301.0,12.3,20,24.0
2,23.0,2301.0,12.4,25,29.0
2,23.0,2301.0,12.5,30,34.0
2,23.0,2301.0,12.4,35,39.0
2,23.0,2301.0,12.1,40,44.0
2,23.0,2301.0,11.7,45,49.0
2,23.0,2301.0,11.3,50,54.0
2,23.0,2301.0,10.8,55,59.0
2,23.0,2301.0,10.4,60,64.0
2,23.0,2301.0,10.1,65,69.0
2,23.0,2301.0,9.6,70,74.0
2,23.0,2301.0,8.3,75,79.0
2,23.0,2301.0,8,80,84.0
2,23.0,2301.0,7.1,85,
2,23.0,2302.0,0,0,4.0
2,23.0,2302.0,1.6,5,9.0
