Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
1,14.0,1402.0,0 a 4,91.0,45.0,46.0
1,14.0,1402.0,5 a 9,109.0,61.0,48.0
1,14.0,1402.0,10 a 14,135.0,69.0,66.0
1,14.0,1402.0,15 a 19,90.0,36.0,54.0
1,14.0,1402.0,20 a 24,73.0,31.0,42.0
1,14.0,1402.0,25 a 29,101.0,42.0,59.0
1,14.0,1402.0,30 a 34,74.0,33.0,41.0
1,14.0,1402.0,35 a 39,78.0,37.0,41.0
1,14.0,1402.0,40 a 44,74.0,35.0,39.0
1,14.0,1402.0,45 a 49,67.0,32.0,35.0
1,14.0,1402.0,50 a 54,71.0,34.0,37.0
1,14.0,1402.0,55 a 59,70.0,35.0,35.0
1,14.0,1402.0,60 a 64,66.0,30.0,36.0
1,14.0,1402.0,65 a 69,69.0,37.0,32.0
1,14.0,1402.0,70 a 74,55.0,33.0,22.0
1,14.0,1402.0,75 a 79,50.0,26.0,24.0
1,14.0,1402.0,80 a 84,37.0,19.0,18.0
1,14.0,1402.0,85 o más,25.0,13.0,12.0
1,14.0,1403.0,0 a 4,70.0,29.0,41.0
1,14.0,1403.0,5 a 9,63.0,29.0,34.0
1,14.0,1403.0,10 a 14,61.0,33.0,28.0
1,14.0,1403.0,15 a 19,71.0,40.0,31.0
1,14.0,1403.0,20 a 24,63.0,35.0,28.0
1,14.0,1403.0,25 a 29,70.0,35.0,35.0
1,14.0,1403.0,30 a 34,61.0,28.0,33.0
1,14.0,1403.0,35 a 39,32.0,14.0,18.0
1,14.0,1403.0,40 a 44,41.0,16.0,25.0
1,14.0,1403.0,45 a 49,36.0,18.0,18.0
1,14.0,1403.0,50 a 54,22.0,11.0,11.0
1,14.0,1403.0,55 a 59,34.0,14.0,20.0
1,14.0,1403.0,60 a 64,33.0,17.0,16.0
1,14.0,1403.0,65 a 69,27.0,15.0,12.0
1,14.0,1403.0,70 a 74,37.0,19.0,18.0
1,14.0,1403.0,75 a 79,30.0,16.0,14.0
1,14.0,1403.0,80 a 84,24.0,14.0,10.0
1,14.0,1403.0,85 o más,15.0,6.0,9.0
1,14.0,1404.0,0 a 4,239.0,116.0,123.0
1,14.0,1404.0,5 a 9,229.0,124.0,105.0
1,14.0,1404.0,10 a 14,230.0,124.0,106.0
1,14.0,1404.0,15 a 19,181.0,99.0,82.0
1,14.0,1404.0,20 a 24,168.0,87.0,81.0
1,14.0,1404.0,25 a 29,231.0,109.0,122.0
1,14.0,1404.0,30 a 34,206.0,111.0,95.0
1,14.0,1404.0,35 a 39,189.0,94.0,95.0
1,14.0,1404.0,40 a 44,153.0,83.0,70.0
