Periodo,Comuna,Cantidad_40%,Cantidad_41-50%,Cantidad_51-60%,Cantidad_61-70,Cantidad_71-80%,Cantidad_81-90%,Cantidad_91-100%,Totales_por_comuna
202308,16105,6082,692,592,530,544,643,202,9285
202308,14108,27447,3122,2425,1920,1798,2378,938,40028
202308,16109,11376,1707,1423,1186,1470,1949,687,19798
202308,14104,13706,1891,1604,1193,1272,1434,496,21596
202308,14106,16191,1748,1554,1323,1756,1855,583,25010
202308,14102,3735,490,422,286,368,487,173,5961
202308,14203,8950,861,693,500,546,647,216,12413
202308,16203,9609,1641,1451,1085,1136,1402,377,16701
202308,16206,4488,588,428,352,337,503,173,6869
202308,16207,3956,441,415,366,326,424,132,6060
202308,16302,20108,2200,1697,1357,1349,1781,534,29026
202308,16201,7836,994,780,527,670,922,288,12017
202308,16301,35041,4782,3735,3308,3577,4483,1641,56567
202308,16204,4393,380,258,263,250,321,125,5990
202308,16303,9090,971,733,569,588,812,229,12992
202308,16202,3875,373,304,239,281,424,143,5639
202308,16205,4094,377,330,227,230,248,70,5576
202308,16304,3946,367,305,248,293,370,161,5690
202308,16305,10228,1276,1043,860,826,1023,291,15547
202309,1101,76375,12406,12814,12733,15560,28921,13158,171967
202309,1107,70103,9182,8601,7567,9317,13173,5502,123445
202309,1401,8399,1188,1140,1170,1461,1957,919,16234
202309,1404,2056,276,190,141,168,239,86,3156
202309,1405,3605,566,580,492,545,759,332,6879
202309,2101,128333,25089,25616,25131,32522,68725,30865,336281
202309,1402,1020,115,61,38,58,68,38,1398
202309,1403,926,102,57,53,36,171,68,1413
202309,2102,6173,1064,1110,1063,1519,2198,1155,14282
202309,2103,712,148,144,120,172,262,211,1769
202309,2104,6342,986,911,806,1082,1602,786,12515
202309,2201,57519,10247,10403,10319,14530,31809,15359,150186
202309,2301,14271,1956,1612,1593,2018,3293,1775,26518
202309,2302,1562,319,320,342,564,961,476,4544
202309,3101,75576,10493,10114,9685,13577,25967,12087,157499
202309,2202,96,14,10,23,28,44,25,240
202309,2203,5133,881,710,707,921,1493,689,10534
202309,3102,11691,1542,1498,1227,1684,2497,1280,21419
202309,3103,8151,993,971,861,1152,2003,838,14969
202309,3201,7042,1086,996,824,1086,1802,777,13613
202309,3302,3365,413,381,292,271,398,180,5300
202309,3303,4279,761,665,563,598,726,357,7949
202309,3202,4471,868,916,878,1458,2557,1068,12216
202309,3301,28324,3872,3837,3568,4660,7533,3539,55333
202309,4101,99864,17430,15434,14593,17294,33755,12295,210665
202309,3304,5947,917,797,758,974,1504,843,11740
202309,4102,126259,19514,17479,16124,18418,29734,11284,238812
202309,4103,6702,976,914,706,840,1771,676,12585
202309,4104,3695,536,361,276,295,454,186,5803
202309,4105,3571,452,426,301,335,368,146,5599
202309,4106,18505,2410,2122,1673,2048,2480,857,30095
202309,4201,17559,2784,2633,2216,2817,4068,1774,33851
202309,4202,6775,773,598,564,586,841,309,10446
202309,4203,14973,2421,1502,1293,1432,2210,827,24658
202309,4204,15389,2538,2286,2055,2545,4045,1978,30836
202309,4301,65667,9891,9044,7470,8976,11559,4599,117206
202309,4302,9267,1060,931,783,800,1022,369,14232
202309,4303,20975,2639,2353,1861,2051,2306,869,33054
202309,4304,7933,940,782,669,777,982,441,12524
202309,4305,3130,448,288,236,217,370,177,4866
202309,5605,12594,1712,1360,1144,1095,1665,589,20159
202309,5504,9927,1616,1543,1505,1957,4015,1609,22172
202309,5506,11571,2039,1852,1525,1915,2851,1064,22817
202309,5301,26785,4993,4830,4606,5368,9300,3572,59454
202309,5302,7910,1396,1255,1014,1579,2202,850,16206
202309,5109,140491,25776,25206,22998,25014,40910,15265,295660
202309,5404,6518,979,785,585,727,897,387,10878
