Código región,Código provincia,Código comuna,Total de mujeres de 15 años o más,Mujeres con hijos o hijas,Mujeres sin hijos o hijas,Mujeres con fecundidad ignorada
6,61.0,6110.0,11334.0,8538.0,2773.0,23.0
6,61.0,6111.0,5792.0,4308.0,1479.0,5.0
6,61.0,6112.0,5945.0,4509.0,1431.0,5.0
6,61.0,6113.0,8522.0,6623.0,1878.0,21.0
6,61.0,6114.0,5766.0,4380.0,1382.0,4.0
6,61.0,6115.0,26708.0,19838.0,6787.0,83.0
6,61.0,6116.0,12175.0,9182.0,2968.0,25.0
6,61.0,6117.0,21155.0,16077.0,5020.0,58.0
6,62.0,6201.0,8343.0,6165.0,2112.0,66.0
6,62.0,6202.0,1901.0,1481.0,419.0,1.0
6,62.0,6203.0,3657.0,2851.0,800.0,6.0
6,62.0,6204.0,3703.0,2813.0,885.0,5.0
6,62.0,6205.0,3671.0,2776.0,889.0,6.0
6,62.0,6206.0,3022.0,2353.0,667.0,2.0
6,63.0,6301.0,32376.0,23952.0,8245.0,179.0
6,63.0,6302.0,6677.0,5014.0,1660.0,3.0
6,63.0,6303.0,15556.0,11831.0,3704.0,21.0
6,63.0,6304.0,3257.0,2469.0,782.0,6.0
6,63.0,6305.0,7909.0,5987.0,1896.0,26.0
6,63.0,6306.0,5470.0,4185.0,1273.0,12.0
6,63.0,6307.0,5269.0,3986.0,1275.0,8.0
6,63.0,6308.0,3909.0,2944.0,954.0,11.0
6,63.0,6309.0,1934.0,1488.0,446.0,0.0
6,63.0,6310.0,17586.0,13081.0,4479.0,26.0
7,71.0,7101.0,101431.0,69539.0,31436.0,456.0
7,71.0,7102.0,19491.0,14570.0,4788.0,133.0
7,71.0,7103.0,4049.0,3122.0,925.0,2.0
7,71.0,7104.0,1620.0,1245.0,373.0,2.0
7,71.0,7105.0,24826.0,17767.0,6932.0,127.0
7,71.0,7106.0,3849.0,2942.0,881.0,26.0
7,71.0,7107.0,3824.0,2843.0,980.0,1.0
7,71.0,7108.0,5900.0,4612.0,1275.0,13.0
7,71.0,7109.0,19556.0,14833.0,4647.0,76.0
7,71.0,7110.0,4635.0,3523.0,1096.0,16.0
7,72.0,7201.0,18694.0,13960.0,4707.0,27.0
7,72.0,7202.0,3980.0,3031.0,948.0,1.0
7,72.0,7203.0,3675.0,2789.0,871.0,15.0
7,73.0,7301.0,68139.0,49997.0,17962.0,180.0
7,73.0,7302.0,4582.0,3475.0,1083.0,24.0
7,73.0,7303.0,2943.0,2239.0,700.0,4.0
7,73.0,7304.0,20803.0,15588.0,5118.0,97.0
7,73.0,7305.0,4735.0,3581.0,1144.0,10.0
7,73.0,7306.0,7177.0,5393.0,1774.0,10.0
7,73.0,7307.0,8075.0,6112.0,1939.0,24.0
7,73.0,7308.0,12603.0,9666.0,2919.0,18.0
7,73.0,7309.0,1961.0,1481.0,475.0,5.0
7,74.0,7401.0,41919.0,31016.0,10767.0,136.0
7,74.0,7402.0,9586.0,7281.0,2282.0,23.0
7,74.0,7403.0,13846.0,10764.0,3048.0,34.0
7,74.0,7404.0,19418.0,14712.0,4673.0,33.0
7,74.0,7405.0,9309.0,7224.0,2070.0,15.0
7,74.0,7406.0,21095.0,15628.0,5390.0,77.0
7,74.0,7407.0,7727.0,5847.0,1840.0,40.0
7,74.0,7408.0,8241.0,6364.0,1858.0,19.0
16,161.0,16101.0,84662.0,59907.0,24407.0,348.0
16,161.0,16102.0,10297.0,7760.0,2513.0,24.0
16,161.0,16103.0,14221.0,10331.0,3858.0,32.0
16,161.0,16104.0,5584.0,4270.0,1313.0,1.0
16,161.0,16105.0,3778.0,2875.0,894.0,9.0
16,161.0,16106.0,5405.0,3986.0,1389.0,30.0
16,161.0,16107.0,8337.0,6324.0,1973.0,40.0
16,161.0,16108.0,7475.0,5662.0,1799.0,14.0
16,161.0,16109.0,7969.0,6147.0,1803.0,19.0
16,162.0,16201.0,5106.0,3843.0,1259.0,4.0
16,162.0,16202.0,2436.0,1823.0,613.0,0.0
16,162.0,16203.0,6835.0,5171.0,1648.0,16.0
16,162.0,16204.0,2491.0,1895.0,595.0,1.0
16,162.0,16205.0,2244.0,1704.0,539.0,1.0
16,162.0,16206.0,2821.0,2185.0,630.0,6.0
16,162.0,16207.0,2623.0,1996.0,624.0,3.0
