Código región,Código provincia,Código comuna,Grupos de edad,Años de escolaridad promedio
2,22.0,2203.0,10 a 14,6
2,22.0,2203.0,15 a 19,10.5
2,22.0,2203.0,20 a 24,12.3
2,22.0,2203.0,25 a 29,13.1
2,22.0,2203.0,30 a 34,13.3
2,22.0,2203.0,35 a 39,13
2,22.0,2203.0,40 a 44,12.5
2,22.0,2203.0,45 a 49,11.9
2,22.0,2203.0,50 a 54,11.4
2,22.0,2203.0,55 a 59,10.8
2,22.0,2203.0,60 a 64,9.7
2,22.0,2203.0,65 a 69,9.4
2,22.0,2203.0,70 a 74,8.4
2,22.0,2203.0,75 a 79,6
2,22.0,2203.0,80 a 84,4.2
2,22.0,2203.0,85 o más,4.4
2,23.0,2301.0,0 a 4,0
2,23.0,2301.0,5 a 9,1.5
2,23.0,2301.0,10 a 14,6.1
2,23.0,2301.0,15 a 19,10.4
2,23.0,2301.0,20 a 24,12.3
2,23.0,2301.0,25 a 29,12.4
2,23.0,2301.0,30 a 34,12.5
2,23.0,2301.0,35 a 39,12.4
2,23.0,2301.0,40 a 44,12.1
2,23.0,2301.0,45 a 49,11.7
2,23.0,2301.0,50 a 54,11.3
2,23.0,2301.0,55 a 59,10.8
2,23.0,2301.0,60 a 64,10.4
2,23.0,2301.0,65 a 69,10.1
2,23.0,2301.0,70 a 74,9.6
2,23.0,2301.0,75 a 79,8.3
2,23.0,2301.0,80 a 84,8
2,23.0,2301.0,85 o más,7.1
2,23.0,2302.0,0 a 4,0
2,23.0,2302.0,5 a 9,1.6
2,23.0,2302.0,10 a 14,6.2
2,23.0,2302.0,15 a 19,10.5
2,23.0,2302.0,20 a 24,13.2
2,23.0,2302.0,25 a 29,13.3
2,23.0,2302.0,30 a 34,13.3
2,23.0,2302.0,35 a 39,12.9
2,23.0,2302.0,40 a 44,12.6
2,23.0,2302.0,45 a 49,11.8
2,23.0,2302.0,50 a 54,11.9
2,23.0,2302.0,55 a 59,11.2
2,23.0,2302.0,60 a 64,10.9
2,23.0,2302.0,65 a 69,10.1
2,23.0,2302.0,70 a 74,9.7
2,23.0,2302.0,75 a 79,7.7
2,23.0,2302.0,80 a 84,8.7
2,23.0,2302.0,85 o más,5
3,31.0,3101.0,0 a 4,0
3,31.0,3101.0,5 a 9,1.5
3,31.0,3101.0,10 a 14,6
3,31.0,3101.0,15 a 19,10.5
3,31.0,3101.0,20 a 24,12.9
3,31.0,3101.0,25 a 29,13.5
3,31.0,3101.0,30 a 34,13.6
3,31.0,3101.0,35 a 39,13.5
3,31.0,3101.0,40 a 44,13.1
3,31.0,3101.0,45 a 49,12.6
3,31.0,3101.0,50 a 54,12.1
3,31.0,3101.0,55 a 59,11.5
3,31.0,3101.0,60 a 64,10.7
3,31.0,3101.0,65 a 69,10.4
3,31.0,3101.0,70 a 74,9.8
3,31.0,3101.0,75 a 79,8.6
3,31.0,3101.0,80 a 84,7.6
3,31.0,3101.0,85 o más,6.6
3,31.0,3102.0,0 a 4,0
3,31.0,3102.0,5 a 9,1.5
3,31.0,3102.0,10 a 14,6.1
3,31.0,3102.0,15 a 19,10.5
3,31.0,3102.0,20 a 24,12.8
3,31.0,3102.0,25 a 29,13.4
3,31.0,3102.0,30 a 34,13.4
3,31.0,3102.0,35 a 39,13.2
3,31.0,3102.0,40 a 44,12.7
3,31.0,3102.0,45 a 49,12.1
3,31.0,3102.0,50 a 54,11.6
3,31.0,3102.0,55 a 59,11
3,31.0,3102.0,60 a 64,10.2
3,31.0,3102.0,65 a 69,10.3
3,31.0,3102.0,70 a 74,9.4
3,31.0,3102.0,75 a 79,8.3
3,31.0,3102.0,80 a 84,8.6
3,31.0,3102.0,85 o más,6.8
3,31.0,3103.0,0 a 4,0
3,31.0,3103.0,5 a 9,1.6
3,31.0,3103.0,10 a 14,6.2
3,31.0,3103.0,15 a 19,10.6
3,31.0,3103.0,20 a 24,12.6
3,31.0,3103.0,25 a 29,12.3
3,31.0,3103.0,30 a 34,12.1
3,31.0,3103.0,35 a 39,11.8
3,31.0,3103.0,40 a 44,11.2
3,31.0,3103.0,45 a 49,10.8
3,31.0,3103.0,50 a 54,10.2
3,31.0,3103.0,55 a 59,9.5
3,31.0,3103.0,60 a 64,8.4
3,31.0,3103.0,65 a 69,7.8
3,31.0,3103.0,70 a 74,7.4
3,31.0,3103.0,75 a 79,5.3
3,31.0,3103.0,80 a 84,5.2
3,31.0,3103.0,85 o más,3.7
3,32.0,3201.0,0 a 4,0
3,32.0,3201.0,5 a 9,1.4
3,32.0,3201.0,10 a 14,6.1
3,32.0,3201.0,15 a 19,10.4
3,32.0,3201.0,20 a 24,12.4
3,32.0,3201.0,25 a 29,13
3,32.0,3201.0,30 a 34,12.8
3,32.0,3201.0,35 a 39,12.8
3,32.0,3201.0,40 a 44,12.5
3,32.0,3201.0,45 a 49,11.6
3,32.0,3201.0,50 a 54,11.4
3,32.0,3201.0,55 a 59,10.7
3,32.0,3201.0,60 a 64,9.9
3,32.0,3201.0,65 a 69,9.7
3,32.0,3201.0,70 a 74,8.7
3,32.0,3201.0,75 a 79,7.6
3,32.0,3201.0,80 a 84,6.2
3,32.0,3201.0,85 o más,5.5
3,32.0,3202.0,0 a 4,0
3,32.0,3202.0,5 a 9,1.6
3,32.0,3202.0,10 a 14,6.1
3,32.0,3202.0,15 a 19,10.4
3,32.0,3202.0,20 a 24,12.7
3,32.0,3202.0,25 a 29,13.4
3,32.0,3202.0,30 a 34,13.2
3,32.0,3202.0,35 a 39,13.2
3,32.0,3202.0,40 a 44,13
3,32.0,3202.0,45 a 49,12.4
3,32.0,3202.0,50 a 54,12.1
3,32.0,3202.0,55 a 59,11.2
3,32.0,3202.0,60 a 64,10.5
3,32.0,3202.0,65 a 69,9.6
3,32.0,3202.0,70 a 74,8.6
3,32.0,3202.0,75 a 79,6.4
3,32.0,3202.0,80 a 84,5.7
3,32.0,3202.0,85 o más,4.3
3,33.0,3301.0,0 a 4,0
3,33.0,3301.0,5 a 9,1.5
3,33.0,3301.0,10 a 14,6
3,33.0,3301.0,15 a 19,10.4
3,33.0,3301.0,20 a 24,12.7
3,33.0,3301.0,25 a 29,13.4
3,33.0,3301.0,30 a 34,13.2
3,33.0,3301.0,35 a 39,13.2
3,33.0,3301.0,40 a 44,12.6
3,33.0,3301.0,45 a 49,12.1
3,33.0,3301.0,50 a 54,11.5
3,33.0,3301.0,55 a 59,10.7
3,33.0,3301.0,60 a 64,10
3,33.0,3301.0,65 a 69,9.4
3,33.0,3301.0,70 a 74,8.7
3,33.0,3301.0,75 a 79,7.3
3,33.0,3301.0,80 a 84,6.6
3,33.0,3301.0,85 o más,5.4
3,33.0,3302.0,0 a 4,0
3,33.0,3302.0,5 a 9,1.6
3,33.0,3302.0,10 a 14,6
3,33.0,3302.0,15 a 19,10.5
3,33.0,3302.0,20 a 24,12.7
3,33.0,3302.0,25 a 29,12.7
3,33.0,3302.0,30 a 34,12.5
3,33.0,3302.0,35 a 39,12.4
3,33.0,3302.0,40 a 44,11.3
3,33.0,3302.0,45 a 49,10.7
3,33.0,3302.0,50 a 54,9.8
